# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 183263 c	Confirmed				3.82	0.59	0.59				2950.0	340.0	340.0	4.25	0.47	0.47	0.253	0.076	0.076				0.080189	2008	2008-12-09	339.6	9.1	9.1	11910.0	120.0	120.0																															Published in a refereed paper	Radial Velocity					HD 183263	292.1	8.3577778	7.86					53.0			0.3			1.17			1.21			G2IV	8.1			5888.0					
HD 184601 b	Confirmed				60.27	3.65	3.65				849.35	1.45	1.45	1.76	0.08	0.08	0.49	0.01	0.01					2021	2021-05-21	137.71	0.77	0.77	2458480.37	1.14	1.14																			1531.86	18.65	18.65										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 184601	292.937500015	60.864166695	8.0					80.4	0.3	0.3										G0									
HD 185269 A b	Confirmed				0.94						6.838	0.001	0.001	0.077			0.3	0.04	0.04				0.001638	2006	2019-12-13	173.0	6.8	6.8	2453154.1	0.18	0.18																															Published in a refereed paper	Radial Velocity			HD 185269 b		HD 185269 A	294.3	28.5	6.67					47.0	1.0	1.0	0.11	0.05	0.05	1.28	0.1	0.1	1.88	0.1	0.1	G0IV	4.2			5980.0	50.0	50.0			HD 185269
HD 187085 b	Confirmed				0.75						986.0			2.05			0.47						0.045576	2006	2010-12-21	94.0			2450912.0																																	Published in a refereed paper	Radial Velocity					HD 187085	297.3875	-37.7805556	7.22					44.98	1.3	1.3	0.05	0.03	0.03	1.22	0.1	0.1				G0 V	3.3	1.2	1.2	6075.0	30.0	30.0	IR Excess		
HD 187123 b	Confirmed				0.52	0.04	0.04				3.0965828	7.8e-06	7.8e-06	0.0426	0.0025	0.0025	0.01	0.006	0.006				0.000852	1998	2013-05-20	25.0			52111.7	3.0	3.0																															Published in a refereed paper	Radial Velocity					HD 187123	296.7375	34.4208333	7.86					50.0			0.16			1.06			1.17			G5	5.33			5714.0					
HD 187123 c	Confirmed				1.99	0.25	0.25				3810.0	420.0	420.0	4.89	0.53	0.53	0.252	0.033	0.033				0.0978	1998	2013-05-20	250.0	170.0	170.0	53580.04	30.0	30.0																															Announced on a professional conference	Radial Velocity					HD 187123	296.7375	34.4208333	7.86					50.0			0.16			1.06			1.17			G5	5.33			5714.0					
HD 18742 b	Confirmed				3.4	1.2	1.2	1.166			766.0	25.0	25.0	1.82	0.14	0.14	0.04	0.035	0.035				0.014222	2011	2018-12-21	190.0	74.0	74.0	2455280.0	140.0	140.0																			61.0	22.0	22.0										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 18742	45.0444	-20.80261	7.81					135.0	14.0	14.0	-0.04	0.03	0.03	1.36	0.11	0.11	5.13	0.1	0.1	G8/K0	2.3	0.5	0.5	4940.0	44.0	44.0			
HD 188015 b	Confirmed				1.26						456.46	9.12	9.12	1.19			0.15	0.09	0.09				0.022624	2004	2010-12-29	293.0	35.7	35.7	2451883.51	53.37	53.37																															Published in a refereed paper	Radial Velocity					HD 188015	298.0166667	28.1002778	8.22					52.6			0.29			1.09			1.1			G5IV	6.2	2.32	2.32	5520.0					
HD 189567 b	Confirmed				0.0316	0.0034	0.0034				14.275	0.0052	0.0052	0.1099	0.0018	0.0018	0.23	0.14	0.14				0.006209	2011	2011-09-11																																					Submitted to a professional journal	Radial Velocity					HD 189567	301.3875	-67.3208333	6.07					17.7	0.13	0.13										G2V									
HD 190228 b	Confirmed	65.7	20.4	20.4							1146.0	16.0	16.0	2.0	0.5	0.5	0.5	0.04	0.04	4.5	2.1	2.1	0.030253	2002	2016-08-22	107.0	3.2	3.2	1236.0	25.0	25.0																															Published in a refereed paper	Radial Velocity					HD 190228	300.75	28.3066667	7.3					66.11			-0.24			1.3			3.02	0.33	0.33	G5IV	10.16			5176.0					
HD 190360 b	Confirmed				1.495	0.15	0.15				2867.9	7.7	7.7	3.92	0.2	0.2	0.343	0.017	0.017					2003	2020-08-14	14.7	32.0	32.0	2459271.0	19.0	19.0																			23.39	0.46	0.46										Published in a refereed paper	Radial Velocity	Radial Velocity		GJ 777 A b		HD 190360	300.9041667	29.8966667	5.71					15.89	0.16	0.16	0.24	0.08	0.08	1.04			1.2	0.033	0.033	G6 IV	12.11			5588.0	80.0	80.0			
HD 190360 c	Confirmed				0.06381	0.00994	0.00994				17.1186	0.0016	0.0016	0.128	0.002	0.002	0.107	0.07	0.07					2005	2020-08-14	305.8	280.0	39.0	2455570.3	2.9	1.5																			5.2	0.37	0.37										Published in a refereed paper	Radial Velocity	Radial Velocity		GJ 777 A c		HD 190360	300.9041667	29.8966667	5.71					15.89	0.16	0.16	0.24	0.08	0.08	1.04			1.2	0.033	0.033	G6 IV	12.11			5588.0	80.0	80.0			
HD 190647 b	Confirmed				1.9	0.06	0.06				1038.1	4.9	4.9	2.07	0.06	0.06	0.18	0.02	0.02				0.038192	2007	2014-08-30	232.5	9.4	9.4	2453869.0	24.0	24.0																															Published in a refereed paper	Radial Velocity					HD 190647	301.8333333	-35.5386111	7.78					54.2	3.4	3.4	0.24	0.03	0.03	1.1	0.1	0.1				G5	2.0	nan	inf	5628.0	20.0	20.0			
HD 190984 b	Confirmed				3.1						4885.0			5.5			0.57	0.1	0.1				0.053398	2009	2010-11-05	318.0	5.0	5.0	2449572.0	1600.0	1600.0																															Submitted to a professional journal	Radial Velocity					HD 190984	302.8791667	-64.6205556	8.76					103.0	21.0	21.0	-0.48	0.06	0.06	0.91			1.53			F8V				5988.0	25.0	25.0			
HD 191806 b	Confirmed				8.52	0.63	0.63				1606.3	7.2	7.2	2.8	0.1	0.1	0.259	0.017	0.017					2016	2016-04-29				2455014.0	18.0	18.0																			140.5	2.1	2.1										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 191806	302.367916676	52.2763305686	8.093								0.3	0.02	0.02	1.14	0.12	0.12					2.9	0.4	0.4	6010.0	30.0	30.0			
HD 192263 b	Confirmed				0.733	0.015	0.015				24.3587	0.0022	0.0022	0.15312	0.00095	0.00095	0.008	0.014	0.014				0.007694	1999	2014-08-22	184.0	90.0	90.0	2451796.9	6.8	6.8				2450986.74	21.0	21.0																									Published in a refereed paper	Radial Velocity					HD 192263	303.5	-0.8669444	7.79					19.9			-0.2			0.81			0.75			K2 V	0.57			4965.0			IR Excess		
HD 192699 b	Confirmed				2.096	0.093	0.093	1.206			340.94	0.92	0.92	1.063	0.049	0.049	0.082	0.041	0.041				0.017313	2007	2018-12-30	87.0	37.0	37.0	2454079.0	36.0	36.0																			49.3	2.1	2.1										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 192699	304.02502	4.58079	6.44					67.0			-0.15	0.04	0.04	1.38	0.12	0.12	4.41	0.51	0.51	G8IV	1.8	1.0	1.0	5041.0	44.0	44.0			
HD 195019 b	Confirmed				3.7	0.3	0.3				18.20163	0.0004	0.0004	0.1388	0.008	0.008	0.014	0.0044	0.0044				0.003715	1998	2006-11-24	322.0	20.0	20.0	11015.0	1.2	1.2																															Published in a refereed paper	Radial Velocity					HD 195019	307.0708333	18.77	6.91					37.36	1.2	1.2	0.08	0.04	0.04	1.06			1.38			G3 IV-V	5.33			5787.0	31.0	31.0			
HD 196050 b	Confirmed				2.83						1316.24			2.47			0.21						0.052665	2002	2010-12-21	223.0			51033.0																																	Published in a refereed paper	Radial Velocity					HD 196050	309.4625	-60.6344444	7.5					46.9			0.23			1.17			1.29			G3 V	3.17			5874.0					
HD 196067 b	Confirmed				6.9	1.1	3.9				3638.0	232.0	185.0	5.02	0.19	0.19	0.66	0.09	0.18					2011	2019-06-13	148.2	7.8	7.8	2453375.0	225.0	225.0																															Published in a refereed paper	Radial Velocity					HD 196067	310.4333333	-75.3508333	6.02					44.3	4.0	4.0										G0V									
HD 196885 A b	Confirmed				2.98	0.05	0.05				1326.0	3.7	3.7	2.6	0.1	0.1	0.48	0.02	0.02				0.078788	2007	2012-12-11	93.2	3.0	3.0	11902.0	11.0	11.0																															Published in a refereed paper	Radial Velocity					HD 196885 A	309.9625	11.2494444	6.4					33.0	1.0	1.0	0.29	0.05	0.05	1.33			1.79	0.17	0.17	F8V	2.0	0.5	0.5	6340.0	39.0	39.0			
HD 197037 A b	Confirmed				0.79	0.05	0.05				1035.7	13.0	13.0	2.07	0.05	0.05	0.22	0.07	0.07				0.062727	2012	2019-12-13	298.0	26.0	26.0	2451353.1	86.0	86.0																															Published in a refereed paper	Radial Velocity			HD 197037 b		HD 197037 A	309.8875	42.2486111	6.81					33.0			-0.2	0.06	0.06	1.11						F7V	1.9			6150.0	100.0	100.0			HD 197037
HD 19994 A b	Confirmed				1.37	0.12	0.12				466.2	1.7	1.7	1.305	0.016	0.016	0.063	0.062	0.062				0.06345	2003	2021-04-13	346.0	55.0	55.0	2453757.0	72.0	72.0																			29.3	2.1	2.1										Published in a refereed paper	Radial Velocity			94 Cet b, HD 19994 b, 94 Cet A b		HD 19994 A	48.1916667	-1.1958333	5.07					22.38			0.25			1.34			1.93	0.067	0.067	F8 V	8.91			5984.0			IR Excess		94 Cet, HD 19994, 94 Cet A
HD 20003 b	Confirmed				0.0378	0.0031	0.0031				11.849	0.0028	0.0028	0.0974	0.0016	0.0016	0.4	0.08	0.08				0.002224	2011	2011-09-11																																					Published in a refereed paper	Radial Velocity					HD 20003	46.9083333	-72.3219444	8.37					43.8	1.5	1.5										G8V									
HD 20003 c	Confirmed				0.0422	0.004	0.004				33.823	0.0654	0.0654	0.1961	0.0032	0.0032	0.16	0.09	0.09				0.004477	2011	2011-09-11																																					Published in a refereed paper	Radial Velocity					HD 20003	46.9083333	-72.3219444	8.37					43.8	1.5	1.5										G8V									
HD 200964 b	Confirmed				1.85	0.08	0.14				613.8	1.4	1.3	1.601	0.002	0.002	0.04	0.02	0.04				0.023406	2010	2014-05-26	288.0	111.9	47.0	2454900.0	89.3	89.3																															Published in a refereed paper	Radial Velocity					HD 200964	316.6666667	3.8030556	6.64					68.4	4.8	4.8	-0.15	0.04	0.04	1.44	0.09	0.09	4.3	0.09	0.09	KO	3.0	0.6	0.6	5164.0	44.0	44.0			
HD 200964 c	Confirmed				0.895	0.063	0.123				825.0	3.1	5.1	1.95	0.005	0.008	0.181	0.017	0.024				0.028509	2010	2014-05-26	182.6	57.1	67.7	2455000.0	54.6	54.6																															Published in a refereed paper	Radial Velocity					HD 200964	316.6666667	3.8030556	6.64					68.4	4.8	4.8	-0.15	0.04	0.04	1.44	0.09	0.09	4.3	0.09	0.09	KO	3.0	0.6	0.6	5164.0	44.0	44.0			
HD 202206 (AB) c	Confirmed	17.9	1.8	2.9							1260.0	11.0	11.0	2.41			0.22	0.03	0.03	7.7	1.1	1.1	0.055028	2004	2018-07-31	280.0	4.0	4.0	2453103.0	452.0	452.0																			41.0	1.0	1.0										Published in a refereed paper	Radial Velocity	Astrometry				HD 202206 A	318.7375	-20.7891667	8.08					45.54	0.25	0.25	0.37	0.07	0.07	1.13			1.02			G8 V	2.04			5750.0	75.0	75.0	IR Excess		
HD 202432 b	Confirmed				1.9	0.4	0.4				418.8	2.9	2.9	1.2	0.1	0.1	0.21	0.16	0.16					2018	2018-08-15	61.24	21.76	21.76	2454908.0	26.0	26.0																			43.0	3.0	3.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 202432	317.918389235	70.4411433399	7.0					161.0	6.0	6.0	0.16	0.1	0.1	1.2	0.2	0.2	11.1	0.3	0.3	K2 D	6.1	2.6	2.6	4549.0	30.0	30.0			
HD 202696 b	Confirmed				1.991	0.011	0.174				528.2	12.5	1.8	1.587	0.025	0.004	0.026	0.006	0.1					2018	2019-01-09	289.7	91.8	35.1																						32.5	1.6	3.1										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 202696	319.225000018	27.258055567	8.23					188.5	1.6	1.6	0.02	0.04	0.04	1.91	0.14	0.09	6.01	0.19	0.33	KOIII	1.32	0.25	0.35	5040.0	85.0	71.0			
HD 202696 c	Confirmed				1.917	0.212	0.116				958.0	26.4	2.2	2.36	0.04	0.003	0.265	0.23	0.05					2018	2019-01-09	140.0	44.9	88.7																						26.6	3.5	1.1										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 202696	319.225000018	27.258055567	8.23					188.5	1.6	1.6	0.02	0.04	0.04	1.91	0.14	0.09	6.01	0.19	0.33	KOIII	1.32	0.25	0.35	5040.0	85.0	71.0			
HD 203473 b	Confirmed				7.84	1.15	1.15				1552.9	3.4	3.4	2.73	0.17	0.17	0.289	0.01	0.01					2018	2018-09-18	18.0	1.1	1.1	2463333.6	9.1	9.1																			133.6	2.4	2.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 203473	320.578642082	5.0235879517	8.23								0.19			1.12	0.21	0.21	1.33	0.1	0.1	G5	5.22	0.98	0.98	5780.0					
HD 20367 b	Confirmed				1.07						500.0	6.0	6.0	1.25			0.23	0.1	0.1				0.046296	2002	2010-12-15	83.0	26.0	26.0																			51786.0	32.0	32.0													Published in a refereed paper	Radial Velocity					HD 20367	49.4166667	31.1269444	6.41					27.0			0.1			1.04	0.06	0.06	1.18	0.32	0.32	G0	0.87			6128.0	33.0	33.0			
HD 2039 b	Confirmed				6.11	0.82	0.82				1120.0	23.0	23.0	2.23	0.13	0.13	0.67	0.1	0.1				0.024499	2002	2016-01-19	344.1	3.6	3.6	2452041.0	13.0	13.0																															Published in a refereed paper	Radial Velocity					HD 2039	6.0833333	-56.65	9.01					89.8			0.1	0.16	0.16	0.98	0.05	0.05	1.21			G2/G3 IV-V	5.28			5947.0	39.0	39.0			
HD 204313 b	Confirmed				4.28	0.3	0.3				2024.1	3.1	3.1	3.167	0.12	0.12	0.0946	0.0032	0.0032				0.064176	2009	2015-10-26	292.5	2.7	2.7	2452111.6	28.0	28.0																			68.45	0.3	0.3										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 204313	322.05	-21.7263889	7.99					47.37	1.39	1.39	0.18	0.02	0.02	1.045	0.033	0.033				G5V	3.38	2.58	2.58	5767.0	17.0	17.0			
HD 204313 c	Confirmed				0.0553	0.0053	0.0053				34.905	0.012	0.012	0.2099	0.0071	0.0071	0.155	0.071	0.071				0.00444	2011	2019-06-13	238.0	22.0	22.0																						3.42	0.22	0.22										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 204313	322.05	-21.7263889	7.99					47.37	1.39	1.39	0.18	0.02	0.02	1.045	0.033	0.033				G5V	3.38	2.58	2.58	5767.0	17.0	17.0			
HD 204313 d	Confirmed				1.68	0.3	0.3				2831.6	150.0	150.0	3.93	0.14	0.14	0.28	0.09	0.09				0.082964	2012	2012-05-21	247.0	16.0	16.0	2456376.9	176.0	176.0																															Published in a refereed paper	Radial Velocity					HD 204313	322.05	-21.7263889	7.99					47.37	1.39	1.39	0.18	0.02	0.02	1.045	0.033	0.033				G5V	3.38	2.58	2.58	5767.0	17.0	17.0			
HD 204941 b	Confirmed				0.266	0.032	0.032				1733.0	74.0	74.0	2.56	0.08	0.08	0.37	0.08	0.08				0.094815	2011	2011-08-01	228.0	18.0	18.0	2456015.0	92.0	92.0																															Published in a refereed paper	Radial Velocity					HD 204941	323.1	-20.9575	8.45					27.0	1.0	1.0	-0.19	0.03	0.03	0.74			0.72				6.67	0.77	0.77	5056.0	52.0	52.0			
HD 205521 b	Confirmed				26.62	1.64	1.64				2032.32	2.42	2.42	3.26	0.15	0.15	0.17	0.01	0.01					2021	2021-05-21	220.21	3.05	3.05	2458468.68	13.29	13.29																			406.91	5.82	5.82										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 205521	321.745833353	1.742500022	8.0					47.73	0.4	0.4										G5									
HD 205739 b	Confirmed				1.37	0.09	0.07				279.8	0.1	0.1	0.896	0.015	0.015	0.27	0.07	0.07				0.009922	2008	2008-09-07	301.0	8.0	8.0	3390.7	0.7	0.7																															Published in a refereed paper	Radial Velocity					HD 205739	324.5333333	-31.7375	8.56		7.59	7.35	7.23	90.3			0.19	0.04	0.04	1.22	0.06	0.06	1.33	0.1	0.1	F7V	2.84	0.92	0.92	6176.0	30.0	30.0			
HD 206255 b	Confirmed				0.1076	0.0223	0.0223				96.045	0.317	0.317	0.461	0.009	0.009	0.23	0.11	0.11					2019	2019-04-19	86.92	44.9	44.9																						3.92	0.8	0.8										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 206255	325.59	-50.09						75.41	0.18	0.18				1.42	0.08	0.08				G5IV/V				5635.0	99.0	82.0			
HD 206610 b	Confirmed				2.2	0.1	0.1				610.0	13.0	13.0	1.68	0.05	0.05	0.229	0.058	0.058				0.00866	2010	2010-03-18	296.0	10.0	10.0	2454677.0	20.0	20.0																															Submitted to a professional journal	Radial Velocity					HD 206610	325.8541667	-7.4083333	8.34					194.0	36.0	36.0	0.14	0.03	0.03	1.56	0.11	0.11	6.1	0.1	0.1	K0	3.0	1.0	1.0	4874.0	44.0	44.0			
HD 20781 b	Confirmed				0.0379	0.0035	0.0035				29.15	0.0201	0.0201	0.169	0.0028	0.0028	0.11	0.06	0.06				0.004774	2011	2014-05-08																																					Published in a refereed paper	Radial Velocity					HD 20781	50.0125	-28.7838889	8.44					35.4	1.0	1.0										G9.5V									
HD 20781 c	Confirmed				0.0496	0.0038	0.0038				85.131	0.1161	0.1161	0.3456	0.0047	0.0047	0.28	0.09	0.09				0.009763	2011	2014-05-08																																					Published in a refereed paper	Radial Velocity					HD 20781	50.0125	-28.7838889	8.44					35.4	1.0	1.0										G9.5V									
HD 20782 b	Confirmed				1.9	0.5	0.5				591.9	2.8	2.8	1.381	0.005	0.005	0.97	0.01	0.01				0.03834	2006	2016-01-19	147.7	6.5	6.5	2451175.9	8.4	8.4																															Published in a refereed paper	Radial Velocity					HD 20782	50.0125	-28.8538889	7.38					36.02	1.0	1.0	-0.05	0.03	0.03	1.0	0.03	0.03				G2 V	7.1	4.3	4.3	5578.0	30.0	30.0			
HD 207832 A b	Confirmed				0.56	0.03	0.06				161.97	0.78	0.97	0.57	0.002	0.002	0.13	0.05	0.18					2012	2019-12-13	130.8	83.4	23.9																																		Published in a refereed paper	Radial Velocity			HD 207832 b		HD 207832 A	328.15	-26.0267	8.7986					54.4	2.7	2.7	0.06			0.94	0.1	0.1	0.901	0.056	0.056	G5V	4.5	4.5	0.0	5710.0	81.0	81.0			HD 207832
HD 207832 A c	Confirmed				0.73	0.05	0.18				1155.7	37.0	71.9	2.112	0.045	0.087	0.27	0.1	0.22					2012	2019-12-13	121.6	76.5	32.4																																		Published in a refereed paper	Radial Velocity			HD 207832 c		HD 207832 A	328.15	-26.0267	8.7986					54.4	2.7	2.7	0.06			0.94	0.1	0.1	0.901	0.056	0.056	G5V	4.5	4.5	0.0	5710.0	81.0	81.0			HD 207832
HD 20794 b	Confirmed				0.00887	0.0025	0.00031				18.32	0.005	0.005	0.127	0.001	0.001	0.11	0.1	0.1				0.019917	2011	2019-02-12	26.0	5.0	27.0																						0.71	0.07	0.07										Published in a refereed paper	Radial Velocity	Radial Velocity		82 Eri b		HD 20794	49.9833333	-43.0697222	4.26					6.06			-0.38	0.06	0.06	0.813	0.012	0.018	0.9	0.03	0.03	G8V	14.0	5.0	6.0	5490.0	70.0	70.0	IR Excess		
HD 20794 d	Confirmed				0.0111	0.00318	0.0018				89.76	0.12	0.12	0.364	0.004	0.004	0.29	0.11	0.11				0.057739	2011	2019-02-13	252.0	44.0	48.0																						0.57	0.07	0.07										Published in a refereed paper	Radial Velocity	Radial Velocity		82 Eri d		HD 20794	49.9833333	-43.0697222	4.26					6.06			-0.38	0.06	0.06	0.813	0.012	0.018	0.9	0.03	0.03	G8V	14.0	5.0	6.0	5490.0	70.0	70.0	IR Excess		
HD 20794 e	Confirmed				0.015	0.0027	0.003				147.02	0.91	1.43	0.509	0.006	0.006	0.29	0.17	0.14					2017	2017-06-25	268.0	32.0	47.0																						0.69	0.13	0.15										Published in a refereed paper	Radial Velocity			82 Eri e		HD 20794	49.9833333	-43.0697222	4.26					6.06			-0.38	0.06	0.06	0.813	0.012	0.018	0.9	0.03	0.03	G8V	14.0	5.0	6.0	5490.0	70.0	70.0	IR Excess		
HD 208487 b	Confirmed				0.413	0.05	0.05				129.8	0.4	0.4	0.51	0.02	0.02	0.21	0.09	0.09				0.011333	2004	2010-12-23	123.0	40.0	40.0	51008.0	13.0	13.0																															Published in a refereed paper	Radial Velocity					HD 208487	329.3291667	-37.7636111	7.48					45.0			-0.06	0.05	0.05	1.3			1.15			G2V	3.88			5929.0					
HD 208527 b	Confirmed				9.9	1.7	1.7				875.5	5.8	5.8	2.1	0.2	0.2	0.08	0.04	0.04					2012	2012-11-12	278.0	19.5	19.5	2450745.3	45.7	45.7																															Published in a refereed paper	Radial Velocity					HD 208527	329.1	21.24	6.4					320.2	61.1	61.1	-0.09	0.16	0.16	1.6	0.4	0.4	51.1	8.3	8.3	M1III	2.0	1.3	1.3	4035.0	65.0	65.0			
HD 20868 b	Confirmed				1.99	0.05	0.05				380.85	0.09	0.09	0.947	0.012	0.012	0.75	0.002	0.002				0.019366	2008	2014-08-27	356.2	0.4	0.4	2454451.52	0.1	0.1																															Published in a refereed paper	Radial Velocity					HD 20868	50.1791667	-33.73	9.92					48.9	3.5	3.5	0.04	0.1	0.1	0.78	0.03	0.03	0.79			K3/4IV	4.5	4.0	4.0	4795.0	12.4	12.4			
HD 208897 b	Confirmed				1.4	0.08	0.08				352.7	1.7	1.7	1.05	0.03	0.03	0.07	0.06	0.06					2017	2017-08-09	167.0	83.0	83.0	2455036.0	82.0	82.0																			34.7	2.2	2.2										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 208897	329.748714103	19.0203037532	6.51					64.68			0.21	0.15	0.15	1.25	0.11	0.11	4.98	0.2	0.2	K0				4860.0	100.0	100.0			HIP 108513
HD 210193 b	Confirmed				0.4817	0.0733	0.0733				649.918	8.6	8.6	1.487	0.031	0.031	0.24	0.09	0.09					2019	2019-04-26	168.84	28.7	28.7																						11.4	1.56	1.56										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 210193	332.4	-41.23						42.25	0.08	0.08				1.04	0.06	0.06				G3V				5790.0	50.0	38.0			
HD 210277 b	Confirmed				1.23	0.03	0.03				442.1	0.4	0.4	1.1	0.02	0.02	0.472	0.011	0.011				0.051667	1998	2006-09-05	118.2	1.9	1.9	50988.2	1.6	1.6																															Published in a refereed paper	Radial Velocity					HD 210277	332.3708333	-7.5422222	6.63					21.29	0.36	0.36	0.19	0.04	0.04	1.09			1.1	0.05	0.05	G0	6.93			5532.0	14.0	14.0	IR Excess		
HD 210702 b	Confirmed				1.808	0.097	0.097	1.216			354.1	0.7	0.7	1.148	0.057	0.057	0.028	0.034	0.034				0.020893	2007	2018-12-30	189.0	66.0	66.0	2454042.0	64.0	64.0																			37.8	2.0	2.0										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 210702	332.9625	16.0405556	5.93					56.0	2.3	2.3	0.12	0.04	0.04	1.61	0.18	0.18	4.92	0.4	0.3	K1IV	1.4	1.0	1.0	4951.0	44.0	44.0			
HD 211810 b	Confirmed				0.67	0.44	0.44				1558.0	22.0	22.0	2.656	0.043	0.043	0.68	0.14	0.14					2018	2018-09-18	98.0	14.0	14.0	2464763.0	86.0	86.0																			15.6	7.2	7.2										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 211810	334.529166669	61.134444448	8.59					61.0			0.17			1.03	0.02	0.02	1.13	1.13	1.13	G5				5652.0					
HD 211847 b	Confirmed				19.2	1.2	1.2				7930.0	2000.0	2500.0	7.5	1.4	1.6	0.685	0.07	0.07					2011	2014-06-18	159.2	2.0	2.0																																		Published in a refereed paper	Radial Velocity					HD 211847	335.233333352	-41.430000019	8.78					50.6	3.3	3.3	-0.08	0.06	0.06	0.94	0.04	0.04				G5V	3.0	2.9	2.9	5715.0	50.0	50.0			
HD 211970 b	Confirmed				0.0409	0.0079	0.0079				25.2	0.025	0.025	0.143	0.003	0.003	0.15	0.1	0.1					2019	2019-04-26	97.83	51.73	51.73																						4.02	0.74	0.74										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 211970	335.57	-54.56						13.13	0.01	0.01				0.61	0.04	0.04				K7V				4127.0	94.0	149.0			
HD 212301 A b	Confirmed				0.4			1.07			2.245715	2.8e-05	2.8e-05	0.036			0.0147	0.0147	0.0365				0.000683	2005	2019-12-13	172.8	85.6	85.6	2453388.9																		53549.195	0.004	0.004	59.5	0.7	0.7										Published in a refereed paper	Radial Velocity		Theoretical	HD 212301 b		HD 212301 A	336.875	-77.7177778	7.77					52.7			0.18			1.05	0.06	0.06				F8 V	5.9	2.4	2.4	5998.0					HD 212301
HD 212771 b	Confirmed				2.3	0.4	0.4				373.3	3.4	3.4	1.22	0.3	0.3	0.111	0.06	0.06				0.009313	2010	2010-03-18	55.0	40.0	40.0	2454947.0	40.0	40.0																															Submitted to a professional journal	Radial Velocity					HD 212771	336.7625	-17.2636111	7.6					131.0	14.0	14.0	-0.21	0.03	0.03	1.15	0.08	0.08	5.0	0.1	0.1	G8IV	6.0	2.0	2.0	5121.0	44.0	44.0			
HD 213240 b	Confirmed				4.5						951.0	42.0	42.0	2.03			0.45	0.04	0.04				0.049816	2001	2012-09-25	214.0	7.0	7.0	51520.0	11.0	11.0																															Published in a refereed paper	Radial Velocity					HD 213240	337.75	-49.4330556	6.8					40.75			0.16			1.22			1.5			G4 IV	5.11			5975.0					
HD 213472 b	Confirmed				3.48	0.59	1.1				16700.0	4800.0	12000.0	13.0	2.6	5.7	0.53	0.085	0.12					2021	2021-05-27	37.0	14.0	14.0				2459580.0	160.0	190.0																												Published in a refereed paper	Radial Velocity	Radial Velocity				HD 213472	337.70833335	48.721944463																		G5									
HD 213885 c	Confirmed				0.06277	0.00434	0.00434				4.78503	0.00051	0.00056	0.056798	0.00032	0.00044	0.0							2019	2019-03-27				2458396.635	0.054	0.054																			7.26	0.48	0.48										Published in a refereed paper	Radial Velocity	Radial Velocity		TOI-141 c		HD 213885	338.983333352	-59.864722251	8.0					57.97	0.14	0.14	-0.04	0.03	0.03	1.068	0.02	0.02	1.101	0.0075	0.008	G	3.8	0.79	0.66	5978.0	50.0	50.0			TOI-141
